Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin,BMI_Calc_Check,Burn Efficiency (Cal/Hr)
51,Male,86.37,1.63,161,143,58,2,1974,Strength,29,3.5,4,3,32.5,3,258.98,102.72,68.72,2476,Other,Breakfast,Keto,10.0,1356.53,170.61,270.38,Baked,41.73,119.53,2.5,Plank,5,17,Targets obliques and improves core rotation,356.2,"Lower Chest, Triceps",Wall,Intermediate,Abs,Triceps,Bicep Curls,32.51,2065.28,0.5,1.19,0.83,0.89,501.74,61.26,1203.96,9.98e+19,High,32.507809853588775,987.0
48,Female,83.89,1.82,176,149,70,2,2733,HIIT,24,3.5,5,3,25.3,3,231.16,93.27,61.23,2232,Other,Snack,Keto,11.88,323.04,135.18,393.39,Grilled,11.26,26.52,4.1,Pull-ups,4,21,Strengthens lower body,361.13,"Chest, Triceps",Dumbbells,Advanced,Shoulders,Quads,Face pulls,25.33,1848.79,0.5,1.11,0.74,0.84,-501.4,64.05,1379.52,1.12e+20,Very High,25.32604757879483,1366.5
19,Male,82.66,1.96,174,169,62,2,2701,HIIT,24,3.5,5,3,21.5,3,181.82,71.6,48.11,2569,Other,Dinner,Vegan,30.3,80.98,210.51,239.19,Baked,10.14,116.47,2.9,Lunges,4,24,Isolates triceps,357.96,"Core, Shoulders, Hips",Bench or Sturdy Surface,Advanced,Abs,Lower Chest,Seated calf raises,21.52,1446.67,0.5,0.87,0.95,0.97,-131.62,62.72,1353.09,1.04e+20,High,21.5170762182424,1350.5
38,Female,57.67,1.56,185,132,54,2,2345,HIIT,27,2.7,5,3,23.7,4,369.71,147.77,98.38,1726,Other,Breakfast,Low-Carb,35.84,131.07,244.36,471.47,Grilled,37.25,74.43,3.9,Turkish Get-ups,5,15,Builds unilateral leg strength and balance,338.54,"Lower Chest, Triceps",None or Dumbbells,Advanced,Shoulders,Triceps,Fat grip dumbbell curl,23.7,2955.34,0.5,2.56,0.6,0.72,-619.2,42.33,1110.41,6.59e+19,Medium,23.6974030243261,1172.5
27,Female,71.79,1.97,181,151,73,1,744,Strength,24,3.6,3,1,18.5,3,207.16,82.59,55.08,2046,Other,Lunch,Low-Carb,16.18,674.45,127.06,306.18,Roasted,47.37,119.27,4.2,Plyo Squats,4,15,Improves core stability,356.83,"Shoulders, Triceps",Barbell,Advanced,Chest,Middle,Hammer curls,18.5,1654.72,0.5,1.15,0.72,0.84,1302.15,54.22,535.24,1.01e+20,High,18.498286479940223,744.0
19,Female,95.12,1.85,189,143,50,1,1294,Strength,28,2.3,4,2,27.8,2,298.25,118.86,79.54,2455,Other,Snack,Paleo,25.56,835.15,299.07,300.06,Raw,60.3,15.35,2.6,Squats,5,18,Improves core stability and balance,359.74,"Rear Deltoids, Upper Back",Resistance Band or Cable Machine,Advanced,Legs,Lower,Plate pinch,27.79,2384.3,0.5,1.25,0.66,0.75,1161.16,68.44,863.38,1.08e+20,High,27.792549306062817,1294.0
40,Male,56.88,1.71,168,143,61,2,2190,Strength,22,2.7,5,3,19.4,2,192.66,76.8,51.19,1740,Other,Breakfast,Paleo,43.14,58.47,291.5,352.42,Raw,54.98,40.14,2.9,Frog Jumps,5,21,Strengthens back and improves posture,342.47,"Quadriceps, Hamstrings, Glutes",Bench or Sturdy Surface,Advanced,Forearms,Triceps,Donkey kicks,19.45,1538.55,0.5,1.35,0.76,0.85,-449.58,44.47,1280.84,7.24e+19,Medium,19.45213911972915,1095.0
37,Male,76.48,1.77,180,128,57,1,1306,Cardio,30,2.1,4,2,24.4,3,233.62,92.99,62.41,2166,Other,Breakfast,Low-Carb,27.8,434.36,271.65,370.94,Steamed,39.18,37.58,4.9,Step-ups,5,17,Improves balance and leg strength,356.98,"Quadriceps, Hamstrings, Glutes",Bench or Step,Beginner,Chest,Anterior,Decline dumbbell press,24.41,1868.13,0.5,1.22,0.58,0.71,860.4,53.31,970.99,1.02e+20,High,24.411886750295253,1306.0
19,Male,72.56,1.79,177,124,61,1,803,Strength,26,1.6,3,1,22.6,3,219.75,87.27,58.09,1802,Other,Lunch,Vegetarian,5.03,1193.73,252.47,366.68,Baked,12.55,43.72,1.1,Lunges,4,25,Improves posture and strengthens upper back,332.12,"Chest, Triceps",Low Bar or TRX,Beginner,Legs,Wrist Flexors,Barbell curls,22.65,1750.89,0.5,1.2,0.54,0.7,998.64,53.4,538.03,5.64e+19,Low,22.645984831934086,803.0
46,Male,60.05,1.68,165,147,62,1,1544,HIIT,22,2.5,4,2,21.3,2,247.96,99.4,66.24,1716,Other,Lunch,Vegetarian,16.21,1318.33,53.39,122.1,Fried,28.89,35.79,1.1,Deadlifts,4,23,Isolates and strengthens triceps,350.23,"Core, Shoulders, Legs",Wall,Intermediate,Chest,Lower,Military press,21.28,1985.6,0.5,1.66,0.83,0.89,171.6,46.96,819.54,8.7e+19,High,21.27621882086168,1544.0
37,Female,73.04,1.74,188,141,65,1,1123,Strength,26,2.4,3,2,24.1,3,300.3,120.63,80.22,2038,Other,Snack,Vegan,1.96,2075.74,21.79,229.67,Boiled,43.88,57.5,3.8,Decline Push-ups,5,23,Targets upper chest,333.67,"Shoulders, Upper Back",Cable Machine or Resistance Band,Beginner,Abs,Anterior,Dumbbell front raises,24.12,2405.7,0.5,1.65,0.62,0.75,914.8,54.21,694.03,5.85e+19,Low,24.124719249570617,1123.0
50,Female,86.72,1.63,161,143,58,2,1326,Yoga,29,3.5,4,3,32.6,3,256.65,103.91,68.88,2212,Other,Breakfast,Balanced,10.7,1357.2,172.78,270.05,Raw,42.0,120.0,2.5,Prone Cobras,5,17,Strengthens back and legs,356.6,"Upper Chest, Triceps",Bench or Chair,Advanced,Chest,Posterior,Russian twists,32.64,2062.16,0.5,1.2,0.83,0.89,886.0,61.46,1212.44,1.01e+20,High,32.63954232376078,663.0
31,Female,76.77,1.71,190,137,52,1,1214,Cardio,29,1.8,4,2,26.2,2,222.21,89.25,58.85,2182,Other,Breakfast,Paleo,15.41,278.9,228.23,407.72,Raw,59.79,72.64,1.8,Glute Bridges,4,24,Improves shoulder mobility and posture,353.43,"Chest, Triceps, Shoulders",Step or Box,Advanced,Forearms,Grip Strength,Hyperextensions,26.25,1775.49,0.5,1.16,0.62,0.72,967.88,54.26,897.71,9.37e+19,High,26.254232071406587,1214.0
24,Female,88.29,1.79,178,154,65,2,1832,Cardio,27,3.5,4,3,27.6,3,174.44,69.19,46.48,2410,Other,Lunch,Keto,0.81,299.22,187.88,124.74,Boiled,45.62,15.41,2.8,Lat Pulldowns,4,24,Builds chest strength,350.66,"Core, Shoulders, Hips","Bench, Barbell",Intermediate,Back,Grip Strength,Leg raises,27.56,1392.84,0.5,0.78,0.79,0.87,578.19,64.66,1234.32,8.78e+19,High,27.555319746574703,916.0
51,Male,57.01,1.91,184,132,68,1,1177,Strength,22,2.7,4,2,15.6,2,177.97,71.05,47.3,1510,Other,Lunch,Keto,7.67,1250.31,138.48,220.52,Steamed,46.48,16.29,1.8,Prone Cobras,4,15,Strengthens lower body,360.04,Triceps,Kettlebell,Beginner,Forearms,Wrist Flexors,Barbell rows,15.63,1421.78,0.5,1.25,0.55,0.71,332.8,44.24,784.89,1.09e+20,High,15.627312847783777,1177.0
54,Female,87.22,1.76,189,158,68,1,1067,Yoga,28,3.4,3,2,28.2,3,296.87,118.4,79.38,2269,Other,Lunch,Keto,15.56,2425.23,235.02,353.93,Fried,25.41,66.78,2.7,Bear Crawls,5,17,Builds upper body strength,338.3,"Chest, Triceps",Cable Machine,Advanced,Chest,Middle,Skull crushers,28.16,2375.5,0.5,1.36,0.74,0.84,1201.62,62.43,1001.37,6.55e+19,Medium,28.15728305785124,1067.0
25,Female,105.44,1.88,174,156,67,1,1278,Cardio,31,2.3,3,2,29.8,4,198.29,79.79,52.85,3016,Other,Lunch,Balanced,43.02,2092.8,254.4,466.3,Raw,50.18,36.63,4.0,Mountain Climbers,4,15,Builds explosive power,355.39,"Obliques, Core",Pull-up Bar,Beginner,Shoulders,Lower,Plate pinch,29.83,1587.97,0.5,0.76,0.83,0.89,1738.14,72.87,945.34,9.8e+19,High,29.83250339520145,1278.0
39,Male,102.34,1.94,192,134,50,1,792,Cardio,32,2.4,3,1,27.2,3,282.28,111.71,74.89,2624,Other,Lunch,Vegan,9.88,434.89,2.84,459.96,Baked,30.6,105.57,1.9,Russian Twists,5,22,Builds shoulder width,368.66,Core,Resistance Band,Beginner,Forearms,Posterior,Bicycle crunches,27.19,2249.97,0.5,1.09,0.59,0.7,1832.0,69.12,663.59,1.32e+20,Very High,27.192050164735893,792.0
44,Female,89.6,1.99,192,135,58,1,1848,HIIT,23,2.0,4,2,22.6,3,321.28,128.81,85.61,2601,Other,Dinner,Paleo,7.3,2434.23,249.77,96.89,Raw,59.95,49.69,1.9,Shoulder Press,5,15,Strengthens back and legs,339.35,"Chest, Triceps",Wall,Advanced,Back,Lower,Close-grip bench press,22.63,2570.85,0.5,1.44,0.57,0.7,753.0,68.91,950.18,6.72e+19,Medium,22.62569127042246,1848.0
18,Male,58.56,1.61,175,150,71,2,2226,Strength,24,2.7,4,3,22.6,3,231.25,92.48,61.37,1549,Other,Snack,Low-Carb,30.58,276.74,266.46,269.54,Baked,59.07,21.53,2.0,Tricep Dips,5,25,Improves core stability and balance,334.26,"Back, Biceps",None or Dumbbells,Advanced,Arms,Anterior,Decline cable crossovers,22.59,1847.25,0.5,1.58,0.77,0.86,-677.42,44.21,1270.19,5.94e+19,Low,22.591720998418268,1113.0
57,Female,76.9,1.86,173,141,55,1,827,Yoga,29,2.8,4,2,22.2,2,207.11,82.81,55.52,1981,Other,Breakfast,Vegetarian,4.58,365.77,281.74,161.5,Fried,7.91,66.82,4.2,Kettlebell Swings,4,16,Advanced core exercise,353.89,"Shoulders, Upper Back",Bench or Sturdy Surface,Beginner,Legs,Lats,Russian twists,22.23,1659.36,0.5,1.08,0.73,0.81,1153.69,54.26,813.95,9.47e+19,High,22.22800323736848,827.0
50,Male,52.57,1.84,195,124,52,1,1325,Cardio,15,3.1,4,2,15.5,3,169.5,68.42,45.57,1497,Other,Snack,Paleo,41.73,2315.93,148.84,212.06,Baked,57.1,8.62,2.2,Resistance Band Pull-Aparts,5,16,Targets biceps and forearms,346.31,Full Body,Dumbbells,Beginner,Legs,Triceps,Hanging leg raises,15.53,1361.81,0.5,1.3,0.51,0.64,172.2,44.77,955.82,7.93e+19,Medium,15.527528355387522,1325.0
32,Male,126.53,1.83,198,146,62,1,791,Yoga,35,2.1,3,2,37.8,3,304.8,122.78,81.51,3255,Other,Breakfast,Keto,44.74,86.45,181.63,284.83,Baked,7.94,54.61,2.2,Leg Raises,5,18,Improves lower back strength,361.2,"Glutes, Hamstrings",Cable Machine or Resistance Band,Beginner,Abs,Lower Chest,Bird dog,37.78,2443.91,0.5,0.97,0.62,0.74,2464.32,82.24,794.64,1.12e+20,Very High,37.7825554659739,791.0
42,Male,59.72,1.74,194,141,52,2,2545,HIIT,19,2.7,5,3,19.7,3,202.57,80.05,53.22,1741,Other,Dinner,Paleo,35.39,2121.96,204.6,433.04,Roasted,8.84,22.7,1.2,Tricep Extensions,5,16,Strengthens core and improves mobility,364.95,"Quadriceps, Glutes",Barbell,Beginner,Shoulders,Quads,Dumbbell flyes,19.73,1609.46,0.5,1.34,0.63,0.73,-804.4,48.11,1299.22,1.22e+20,Very High,19.725194873827455,1272.5
38,Male,76.59,1.82,192,121,50,1,1073,Yoga,23,2.8,4,2,23.1,3,188.66,76.42,50.28,1950,Other,Lunch,Balanced,2.81,2413.37,111.51,329.67,Roasted,39.77,61.64,2.4,Deadlifts,4,19,Improves back strength and posture,344.07,"Quadriceps, Calves, Glutes",Pull-up Bar,Beginner,Back,Grip Strength,Plate pinch,23.12,1512.84,0.5,1.0,0.5,0.63,877.2,59.3,1025.33,7.52e+19,Medium,23.122207462866804,1073.0
40,Male,79.99,1.76,168,167,74,2,1903,Strength,29,3.5,5,3,25.8,3,235.62,94.49,62.77,2030,Other,Dinner,Keto,27.18,1259.35,186.37,484.4,Steamed,41.61,13.87,3.4,Dead Bugs,5,22,Builds lower body power,348.23,Triceps,Resistance Band,Beginner,Shoulders,Posterior,Leg raises,25.82,1885.37,0.5,1.18,0.99,0.99,127.3,56.93,1135.23,8.3e+19,Medium,25.82321797520661,951.5
25,Female,127.55,1.73,167,160,62,1,1608,HIIT,35,2.9,3,1,42.6,3,296.66,117.99,78.86,3313,Other,Snack,Low-Carb,4.0,2351.97,119.73,379.38,Boiled,46.93,29.37,2.5,Frog Jumps,3,10,Builds shoulder width,130.05,"Core, Shoulders, Hips",Wall,Beginner,Arms,Triceps,Bird dog,42.62,2368.34,0.5,0.93,0.93,0.96,1705.16,82.91,345.93,2.7e+16,Low,42.61752814995489,1608.0
58,Female,56.96,1.7,170,122,57,1,895,HIIT,24,2.7,2,1,19.7,3,205.31,83.24,55.37,1390,Other,Dinner,Low-Carb,8.38,1490.43,270.33,284.74,Roasted,48.63,89.23,3.0,Scissors Kicks,5,16,Strengthens core and improves mobility,357.81,"Shoulders, Upper Back",None or Dumbbells,Advanced,Forearms,Lats,Standing calf raises,19.71,1652.53,0.5,1.46,0.57,0.72,494.6,43.54,529.56,1.04e+20,High,19.709342560553637,895.0
48,Female,56.53,1.51,185,125,52,1,1312,Cardio,29,2.1,4,2,24.8,3,215.24,85.55,57.33,1489,Other,Breakfast,Paleo,35.32,1707.76,53.01,130.6,Roasted,18.25,96.05,2.0,Plyometric Push-ups,5,23,Improves unilateral leg strength and balance,330.57,Lower Abs,"Bench, Barbell",Intermediate,Legs,Wrist Flexors,Dumbbell rows,24.79,1719.13,0.5,1.51,0.55,0.68,177.09,40.41,905.76,5.42e+19,Low,24.79277224683128,1312.0
27,Male,88.2,1.98,162,153,53,2,2578,HIIT,21,3.5,4,3,22.5,2,296.47,118.19,79.21,2531,Other,Dinner,Vegan,19.02,345.67,219.13,116.63,Boiled,31.19,13.76,4.4,Frog Jumps,4,24,Improves core stability and upper body strength,336.55,Lower Abs,Box or Platform,Advanced,Abs,Middle,Incline dumbbell press,22.5,2371.53,0.5,1.34,0.92,0.94,-46.96,69.64,1211.58,6.28e+19,Low,22.497704315886136,1289.0
40,Male,51.72,1.61,198,128,70,1,567,Yoga,24,3.3,2,1,20.0,2,217.46,86.75,57.22,1325,Other,Snack,Keto,27.11,1959.49,37.92,145.4,Grilled,28.56,78.55,2.6,Push Ups,4,23,Strengthens back and improves posture,359.4,"Core, Obliques",Bench or Step,Intermediate,Back,Lower,Hammer curl,19.95,1731.82,0.5,1.68,0.45,0.65,758.43,39.46,618.17,1.07e+20,High,19.952933914586627,567.0
41,Female,77.05,1.79,172,132,56,1,1850,HIIT,26,2.0,4,2,24.0,3,291.2,115.86,77.53,2334,Other,Snack,Paleo,22.78,790.39,88.06,392.68,Roasted,5.79,35.76,4.8,Leg Press,4,22,Builds calf muscles,331.76,"Legs, Shoulders, Core",Bench or Sturdy Surface,Advanced,Forearms,Wrist Flexors,Bent-over lateral raises,24.05,2326.01,0.5,1.5,0.66,0.77,484.46,57.2,928.93,5.59e+19,Low,24.047314378452608,1850.0
52,Female,51.93,1.67,169,125,52,2,1818,HIIT,22,1.5,2,1,18.6,3,282.27,112.63,74.94,1353,Other,Dinner,Paleo,29.84,1419.55,134.3,177.23,Baked,51.42,67.35,1.5,Bench Press,5,18,Targets lower abs,350.88,Shoulders,"Bench, Barbell",Intermediate,Shoulders,Anterior,Leg extensions,18.62,2254.06,0.5,2.17,0.62,0.74,-465.3,40.47,1052.64,8.83e+19,High,18.620244540858405,909.0
36,Female,109.87,1.77,191,156,74,1,786,Yoga,33,3.4,2,1,35.1,3,306.41,122.15,82.17,2728,Other,Snack,Vegetarian,46.88,2000.77,252.88,161.17,Raw,20.3,62.42,2.8,Inverted Rows,4,23,Strengthens shoulders,369.34,"Shoulders, Triceps",Resistance Band,Intermediate,Arms,Wrist Extensors,Face pulls,35.07,2453.77,0.5,1.11,0.7,0.82,1941.89,73.15,879.03,1.34e+20,Very High,35.069743687956844,786.0
33,Male,102.83,1.75,186,140,53,1,1004,Yoga,30,2.2,3,2,33.6,3,288.65,115.2,76.75,2657,Other,Snack,Balanced,3.45,459.13,251.52,332.16,Roasted,36.93,92.96,3.1,Bench Press,4,21,Full body workout,363.78,"Lower Chest, Triceps",Cable Machine,Beginner,Chest,Lats,Dumbbell rows,33.58,2306.15,0.5,1.12,0.66,0.75,1653.2,72.05,1018.58,1.19e+20,Very High,33.57714285714286,1004.0
37,Female,88.65,1.79,182,138,68,2,2490,HIIT,30,3.5,5,3,27.7,3,428.87,171.53,113.84,2621,Other,Lunch,Balanced,42.99,891.54,16.44,309.1,Boiled,28.96,42.46,1.1,Russian Twists,4,22,Combines lower body and upper body strength,373.65,"Chest, Triceps",Kettlebell,Beginner,Abs,Middle,Pull-ups,27.67,3426.16,0.5,1.93,0.61,0.76,130.89,62.41,1300.3,1.48e+20,Very High,27.66767579039356,1245.0
21,Female,80.78,1.9,194,138,55,2,2576,HIIT,23,3.5,4,3,22.4,3,162.37,63.98,42.89,2174,Other,Breakfast,Paleo,38.15,926.5,217.13,211.58,Baked,38.32,9.49,4.1,Russian Twists,5,18,Targets lower abs,355.67,"Upper Back, Rear Deltoids",None or Dumbbells,Beginner,Forearms,Middle,Military press,22.38,1291.41,0.5,0.79,0.6,0.71,-401.98,62.45,1280.41,9.86e+19,High,22.37673130193906,1288.0
26,Female,70.53,1.5,182,142,54,1,1011,Cardio,31,2.6,2,1,31.4,3,217.65,85.89,58.01,1839,Other,Snack,Paleo,4.67,2179.93,116.05,240.22,Fried,37.85,112.78,4.8,Seated Rows,5,21,Strengthens lower abs,368.91,"Back, Core, Shoulders",Cable Machine or Resistance Band,Intermediate,Legs,Upper,Pull-ups,31.35,1736.25,0.5,1.22,0.69,0.78,827.92,48.72,848.49,1.33e+20,Very High,31.346666666666668,1011.0
40,Male,54.73,1.61,184,158,64,2,1209,Yoga,23,2.7,4,3,21.1,2,274.39,109.75,73.35,1549,Other,Lunch,Balanced,31.52,1792.05,43.21,315.25,Steamed,52.11,112.34,2.9,Calf Raises,5,18,Improves balance and leg strength,333.31,"Rear Deltoids, Upper Back",Kettlebell,Beginner,Chest,Triceps,Dumbbell rows,21.11,2196.71,0.5,2.01,0.78,0.86,340.0,42.36,1033.26,5.8e+19,Low,21.11415454650669,604.5
33,Male,52.75,1.66,191,129,72,1,1249,Strength,24,2.5,3,1,19.1,3,247.09,98.22,66.16,1446,Other,Dinner,Vegetarian,2.48,107.0,201.6,143.15,Baked,9.95,42.06,4.8,Reverse Lunges,4,24,Targets obliques and improves core rotation,350.36,Lower Abs,Step or Box,Advanced,Back,Quads,Dumbbell rows,19.14,1976.68,0.5,1.86,0.48,0.68,197.47,40.32,882.91,8.72e+19,High,19.142836405864422,1249.0
53,Female,84.36,1.76,165,137,69,2,1308,Yoga,27,3.5,5,3,27.2,2,251.88,100.12,66.98,2285,Other,Breakfast,Paleo,8.63,1561.45,81.35,146.05,Grilled,10.45,87.04,4.3,Russian Twists,4,23,Improves flexibility,351.92,Calves,Box or Platform,Beginner,Back,Posterior,Crunches,27.23,2010.82,0.5,1.19,0.71,0.83,976.62,61.67,1182.45,9.04e+19,High,27.233987603305785,654.0
59,Female,59.66,1.76,194,121,53,2,1787,Cardio,22,2.7,5,3,19.3,3,201.78,80.95,53.99,1789,Other,Lunch,Vegetarian,34.91,2130.37,126.94,450.97,Baked,59.47,65.86,2.3,Deadlift,5,15,Strengthens core and improves mobility,337.04,Core,None or Dumbbells,Beginner,Legs,Upper,Chest flyes,19.26,1616.83,0.5,1.36,0.48,0.62,1.58,46.82,1159.42,6.36e+19,Low,19.260072314049587,893.5
52,Female,59.98,1.71,169,151,58,1,1499,HIIT,22,2.0,3,1,20.5,2,178.89,72.16,48.06,1648,Other,Lunch,Vegan,28.52,1033.56,161.98,423.53,Steamed,50.01,116.84,3.5,Plyo Squats,3,12,Improves posture and strengthens upper back,199.88,"Core, Shoulders, Hips",Resistance Band or Cable Machine,Advanced,Shoulders,Posterior,Decline dumbbell flyes,20.51,1436.74,0.5,1.2,0.84,0.89,148.96,46.83,495.7,8.94e+17,Low,20.512294381177114,1499.0
31,Female,76.83,1.62,174,127,74,1,1000,Yoga,29,2.3,4,2,29.3,2,312.47,125.01,83.31,2268,Other,Dinner,Balanced,42.56,1154.1,83.18,467.17,Steamed,18.18,28.11,2.3,Wall Angels,4,17,Strengthens lower abs,345.11,"Shoulders, Upper Back",Box or Platform,Advanced,Chest,Lower Chest,Barbell curls,29.28,2499.71,0.5,1.63,0.53,0.73,1268.03,54.57,959.41,7.71e+19,Medium,29.27526291723822,1000.0
29,Male,58.43,1.61,198,122,72,1,1296,Strength,28,2.0,3,2,22.5,2,220.02,87.44,58.56,1771,Other,Lunch,Balanced,9.75,312.81,4.53,433.09,Baked,51.03,26.98,2.9,Mountain Climbers,4,16,Improves balance and coordination,350.76,"Core, Lower Back",Pull-up Bar,Advanced,Shoulders,Quads,Dumbbell curls,22.54,1756.88,0.5,1.5,0.39,0.62,475.0,42.33,841.82,8.8e+19,High,22.541568612322052,1296.0
39,Female,71.32,1.88,198,147,51,1,666,HIIT,24,2.2,2,1,20.2,3,256.52,101.44,67.94,1934,Other,Breakfast,Low-Carb,25.86,755.83,122.14,106.63,Fried,40.21,114.88,4.1,Deadlift,5,20,Improves posture and back strength,367.32,"Glutes, Hamstrings",Dumbbells or Barbell,Advanced,Shoulders,Wrist Flexors,Pull-ups,20.18,2043.3,0.5,1.42,0.65,0.74,1268.5,54.23,404.05,1.28e+20,Very High,20.178813942960616,666.0
